OBJECTID,ISO,NAME_0,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,FIPS_1,CC_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,FIPS_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,NAME_5,TYPE_5,ENGTYPE_5,VALIDFR_5,VALIDTO_5,Shape_Leng,Shape_Area,bngy,psgc_bgy,_mean,_median,_stdev,_min,_max
"71375",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Mandamo,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.16326090166,0.00095739825,Mandamo,"160202064",8344.51813471502,8382.55555555555,319.164075918323,6999,8958.22222222222
"71388",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Dankias,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.11590464115,0.00057124612,Dankias,"160202036",7310.75438596491,7464.94444444444,853.130619231653,5272.88888888889,8670.88888888889
"74106",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Baobaoan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.12852021081,0.00105676728,Baobaoan,"160202018",5831.19894179894,5778.77777777778,499.329800260937,4377.55555555556,7304
"74108",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Anticala,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.24363666562,0.00237006167,Anticala,"160202008",6297.36772486772,6302.33333333333,617.157005648071,4748.66666666667,7856.22222222222
"74189",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Cabcabon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09118813764,0.00046151295,Cabcabon,"160202029",6167.71550671551,5935.88888888889,819.155406852021,4920.33333333333,8067
"74192",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bobon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09225914150,0.00035568685,Bobon,"160202024",7265.23492063492,7194.05555555556,358.447297021122,6322.44444444444,8030
"74193",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Banza,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13286754892,0.00059708392,Banza,"160202017",7151.6621129326,7176.72222222222,558.216713554103,5807.44444444444,8370.33333333333
"74194",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Maug,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.07927340045,0.00034333285,Maug,"160202068",7182.55375744047,7297.88888888889,577.342009602785,5679.33333333333,7989.88888888889
"74622",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Sumile,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.16762917993,0.00106161539,Sumile,"160202101",7688.92367601246,7751.44444444445,531.654080350036,6198.33333333333,8594
"74104",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Santo Nino,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13436570505,0.00076547528,Santo Niño,"160202100",7279.55401234568,7373.11111111111,630.008577274405,4856.22222222222,8267
